No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
38,Pasar Pos Pengumben,20000,24000,24000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,20433,20000
39,Pasar Pal Merah,30000,30000,25000,20000,20000,25000,25000,30000,25000,20000,25000,22000,25000,25000,20000,20000,30000,26000,25000,25000,25000,25000,28000,30000,30000,30000,30000,30000,28000,25000,30000,25800,20000
40,Pasar Jembatan Lima,18000,17000,15000,15000,14000,15000,15000,15000,15000,15000,15000,15000,14000,14000,15000,15000,17000,15000,15000,16000,16000,15000,16000,19000,15000,15000,15000,15000,15000,15000,19000,15367,14000
41,Pasar Kelapa Gading,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,30000,28500,25000
42,Pasar Pademangan Timur,40000,40000,25000,18000,20000,20000,20000,20000,25000,15000,15000,18000,20000,23000,25000,20000,20000,18000,23000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,40000,21500,15000
43,Pasar Pluit,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,35500,35000
44,Pasar Kalibaru,30000,30000,35000,35000,30000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,35000,22000,20000
45,Pasar Koja Baru,35000,35000,35000,35000,30000,30000,30000,30000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,35000,23333,20000
46,Pasar Rawamangun,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,26000,25000
47,Pasar Klender SS,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,27667,25000
48,Pasar Anyer Bahari,35000,35000,35000,25000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,25000,25000,25000,25000,30000,30000,25000,25000,25000,25000,25000,20000,35000,35000,26500,20000
