No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
38,Pasar Pos Pengumben,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,40000,45000,45000,45000,45000,45000,45000,35000,30000,35000,35000,30005,35000,35000,35000,35000,35000,35000,35000,35000,50000,40167,30000
39,Pasar Pal Merah,40000,45000,45000,40000,40000,40000,40000,45000,45000,45000,40000,40000,40000,38000,45000,40000,40000,30000,36000,38000,40000,40000,40000,40000,40000,38000,35000,35000,37000,38000,45000,39833,30000
40,Pasar Jembatan Lima,30000,30000,25000,25000,25000,25000,25000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,32000,32000,40000,32367,25000
41,Pasar Kelapa Gading,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,45000,40167,35000
42,Pasar Pademangan Timur,30000,30000,30000,30000,30000,35000,30000,32000,32000,32000,30000,32000,35000,33000,35000,35000,35000,35000,30000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,35000,32200,30000
43,Pasar Pluit,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,45000,45000,45000,50000,49000,45000
44,Pasar Kalibaru,35000,35000,35000,30000,30000,30000,35000,35000,35000,35000,35000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,32333,30000
45,Pasar Koja Baru,40000,45000,40000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40333,40000
46,Pasar Rawamangun,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,38000,38000,38000,38000,38000,45000,40667,38000
47,Pasar Klender SS,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,40000,39667,30000
48,Pasar Anyer Bahari,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
