No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
38,Pasar Pos Pengumben,28000,28000,30000,28000,28000,28000,28000,28000,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29333,28000
39,Pasar Pal Merah,25000,23000,23000,22000,22000,22000,22000,22000,22000,22000,25000,25000,25000,25000,22000,25000,22000,25000,25000,25000,25000,30000,35000,30000,32000,30000,30000,30000,35000,32000,35000,25933,22000
40,Pasar Jembatan Lima,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,25000,25000,20000,20000,25000,35000,35000,30000,38000,30000,25000,25000,30000,30000,30000,30000,38000,26767,20000
41,Pasar Kelapa Gading,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,35000,28333,25000
42,Pasar Pademangan Timur,26000,27000,27000,27000,26000,26000,26000,26000,28000,25000,25000,25000,24000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,27000,27000,27000,27000,27000,28000,25767,24000
43,Pasar Pluit,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36500,35000
44,Pasar Kalibaru,25000,25000,25000,25000,25000,25000,25000,20000,20000,25000,20000,20000,20000,20000,20000,20000,20000,30000,30000,30000,20000,20000,25000,30000,30000,30000,25000,25000,25000,25000,30000,24167,20000
45,Pasar Koja Baru,24000,25000,25000,25000,25000,25000,25000,24000,24000,24000,24000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,30000,30000,30000,30000,35000,35000,35000,30000,30000,35000,27500,24000
46,Pasar Rawamangun,25000,25000,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,27600,25000
47,Pasar Klender SS,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,26167,25000
48,Pasar Anyer Bahari,25000,25000,25000,30000,20000,23000,23000,25000,25000,25000,30000,30000,24000,24000,30000,30000,30000,25000,25000,25000,25000,40000,25000,25000,30000,30000,45000,45000,30000,30000,45000,28133,20000
